"source","parameter","value","rho_it","it","N"
"2_12_sim_GP_param.csv","alpha",4,2,12,9999
"2_12_sim_GP_param.csv","rho",0.1,2,12,9999
"2_12_sim_GP_param.csv","sigma",3,2,12,9999
"2_12_sim_GP_param.csv","mu_0",3.5135567988063,2,12,9999
"2_12_sim_GP_param.csv","mu_50",-2.18189997366453,2,12,9999
"2_12_sim_GP_param.csv","mu_150",-7.02523599509761,2,12,9999
"2_12_sim_GP_param.csv","mu_300",1.90113087005458,2,12,9999
"2_12_sim_GP_param.csv","mu_500",-1.0648050586124,2,12,9999
"2_13_sim_GP_param.csv","alpha",4,2,13,9999
"2_13_sim_GP_param.csv","rho",0.1,2,13,9999
"2_13_sim_GP_param.csv","sigma",3,2,13,9999
"2_13_sim_GP_param.csv","mu_0",4.81436379129781,2,13,9999
"2_13_sim_GP_param.csv","mu_50",-4.16960074648923,2,13,9999
"2_13_sim_GP_param.csv","mu_150",-2.67731482908103,2,13,9999
"2_13_sim_GP_param.csv","mu_300",-1.08550968720977,2,13,9999
"2_13_sim_GP_param.csv","mu_500",0.644183839172481,2,13,9999
"2_14_sim_GP_param.csv","alpha",4,2,14,9999
"2_14_sim_GP_param.csv","rho",0.1,2,14,9999
"2_14_sim_GP_param.csv","sigma",3,2,14,9999
"2_14_sim_GP_param.csv","mu_0",-3.41058083713727,2,14,9999
"2_14_sim_GP_param.csv","mu_50",3.9587210594142,2,14,9999
"2_14_sim_GP_param.csv","mu_150",-0.0877788739975126,2,14,9999
"2_14_sim_GP_param.csv","mu_300",-0.802455866214729,2,14,9999
"2_14_sim_GP_param.csv","mu_500",0.0665530408962467,2,14,9999
"2_15_sim_GP_param.csv","alpha",4,2,15,9999
"2_15_sim_GP_param.csv","rho",0.1,2,15,9999
"2_15_sim_GP_param.csv","sigma",3,2,15,9999
"2_15_sim_GP_param.csv","mu_0",6.09431747816025,2,15,9999
"2_15_sim_GP_param.csv","mu_50",-2.94437772228088,2,15,9999
"2_15_sim_GP_param.csv","mu_150",2.58287937507401,2,15,9999
"2_15_sim_GP_param.csv","mu_300",-2.88660854996371,2,15,9999
"2_15_sim_GP_param.csv","mu_500",1.56325174737993,2,15,9999
"2_16_sim_GP_param.csv","alpha",4,2,16,9999
"2_16_sim_GP_param.csv","rho",0.1,2,16,9999
"2_16_sim_GP_param.csv","sigma",3,2,16,9999
"2_16_sim_GP_param.csv","mu_0",1.87195230712315,2,16,9999
"2_16_sim_GP_param.csv","mu_50",0.711159052404162,2,16,9999
"2_16_sim_GP_param.csv","mu_150",-1.41072352196918,2,16,9999
"2_16_sim_GP_param.csv","mu_300",-3.70611599138313,2,16,9999
"2_16_sim_GP_param.csv","mu_500",2.61314256941802,2,16,9999
"2_17_sim_GP_param.csv","alpha",4,2,17,9999
"2_17_sim_GP_param.csv","rho",0.1,2,17,9999
"2_17_sim_GP_param.csv","sigma",3,2,17,9999
"2_17_sim_GP_param.csv","mu_0",-5.81075360965357,2,17,9999
"2_17_sim_GP_param.csv","mu_50",3.49274539179643,2,17,9999
"2_17_sim_GP_param.csv","mu_150",-5.61608279244748,2,17,9999
"2_17_sim_GP_param.csv","mu_300",0.384670065558836,2,17,9999
"2_17_sim_GP_param.csv","mu_500",1.05173368283764,2,17,9999
"2_18_sim_GP_param.csv","alpha",4,2,18,9999
"2_18_sim_GP_param.csv","rho",0.1,2,18,9999
"2_18_sim_GP_param.csv","sigma",3,2,18,9999
"2_18_sim_GP_param.csv","mu_0",-2.16795615726839,2,18,9999
"2_18_sim_GP_param.csv","mu_50",0.407237978912066,2,18,9999
