"source","parameter","value","rho_it","it","N"
"11_9_est_GP_param.csv","mu[1]",-2.321628839,11,9,330
"11_9_est_GP_param.csv","mu[2]",-0.400263826,11,9,330
"11_9_est_GP_param.csv","mu[3]",0.625051004,11,9,330
"11_9_est_GP_param.csv","mu[4]",-2.97114329,11,9,330
"11_9_est_GP_param.csv","mu[5]",-4.14085155,11,9,330
"12_1_est_GP_param.csv","alpha",3.61481313,12,1,330
"12_1_est_GP_param.csv","rho",1.926470056,12,1,330
"12_1_est_GP_param.csv","sigma",2.756271577,12,1,330
"12_1_est_GP_param.csv","mu[1]",2.443596231,12,1,330
"12_1_est_GP_param.csv","mu[2]",-0.691252748,12,1,330
"12_1_est_GP_param.csv","mu[3]",-0.909654016,12,1,330
"12_1_est_GP_param.csv","mu[4]",0.254699266,12,1,330
"12_1_est_GP_param.csv","mu[5]",-3.43447199,12,1,330
"12_10_est_GP_param.csv","alpha",2.997711926,12,10,330
"12_10_est_GP_param.csv","rho",2.070788472,12,10,330
"12_10_est_GP_param.csv","sigma",3.108175876,12,10,330
"12_10_est_GP_param.csv","mu[1]",2.850824311,12,10,330
"12_10_est_GP_param.csv","mu[2]",-2.752391313,12,10,330
"12_10_est_GP_param.csv","mu[3]",0.054092762,12,10,330
"12_10_est_GP_param.csv","mu[4]",-1.751055334,12,10,330
"12_10_est_GP_param.csv","mu[5]",0.415581077,12,10,330
"12_11_est_GP_param.csv","alpha",3.011051781,12,11,330
"12_11_est_GP_param.csv","rho",2.361388644,12,11,330
"12_11_est_GP_param.csv","sigma",2.772245952,12,11,330
"12_11_est_GP_param.csv","mu[1]",-0.417938229,12,11,330
"12_11_est_GP_param.csv","mu[2]",0.87734946,12,11,330
"12_11_est_GP_param.csv","mu[3]",1.893627846,12,11,330
"12_11_est_GP_param.csv","mu[4]",3.220203124,12,11,330
"12_11_est_GP_param.csv","mu[5]",1.379409456,12,11,330
"12_12_est_GP_param.csv","alpha",3.084048445,12,12,330
"12_12_est_GP_param.csv","rho",2.137897701,12,12,330
"12_12_est_GP_param.csv","sigma",3.10205013,12,12,330
"12_12_est_GP_param.csv","mu[1]",2.068062339,12,12,330
"12_12_est_GP_param.csv","mu[2]",0.475354757,12,12,330
"12_12_est_GP_param.csv","mu[3]",-2.731413461,12,12,330
"12_12_est_GP_param.csv","mu[4]",-2.71374131,12,12,330
"12_12_est_GP_param.csv","mu[5]",-0.487572342,12,12,330
"12_13_est_GP_param.csv","alpha",2.615411464,12,13,330
"12_13_est_GP_param.csv","rho",1.393480795,12,13,330
"12_13_est_GP_param.csv","sigma",3.081085056,12,13,330
"12_13_est_GP_param.csv","mu[1]",-0.801217318,12,13,330
"12_13_est_GP_param.csv","mu[2]",2.802853674,12,13,330
